occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
9600,0.7291904525409774,3314603.5901,0.21999326094948748,Industrial truck and tractor operators,89,83.23809523809524,328,37.71428571428571
6230,0.7118487995829106,6985451.6537999995,0.10190447731402931,Carpenters,90,83.04761904761905,468,11.047619047619051
1108,0.7036836713034864,5950633.8785,0.11825356519511948,"Computer occupations, all other",91,82.85714285714285,454,13.714285714285712
5140,0.6968837350317415,749306.6849,0.9300380592824222,Payroll and timekeeping clerks,92,82.66666666666667,19,96.57142857142857
9640,0.6962768357574279,3724143.8251,0.18696292851652466,"Packers and packagers, hand",93,82.47619047619048,363,31.047619047619047
51,0.6958699231597782,3297618.5672,0.2110219568998363,Marketing managers,94,82.28571428571428,334,36.57142857142858
350,0.6937410011174939,4482834.9969,0.1547549712619881,Medical and health services managers,95,82.0952380952381,407,22.666666666666668
7750,0.6919600858738448,5393965.8725000005,0.1282841052817293,Other assemblers and fabricators,96,81.9047619047619,443,15.809523809523807
5260,0.6911106065943541,887999.7881,0.7782778958462164,File clerks,97,81.71428571428572,45,91.61904761904762
5310,0.6813326763412366,908627.9005,0.7498478485706995,"Interviewers, except eligibility and loan",98,81.52380952380952,52,90.28571428571428
530,0.6791828972186105,1545019.1505,0.43959513187834137,"Purchasing agents, except wholesale, retail, and farm products",99,81.33333333333333,142,73.14285714285714
850,0.6734678451655846,2731306.5525,0.24657351059665958,Personal financial advisors,100,81.14285714285714,298,43.42857142857143
3640,0.6664409546745423,1671042.2395,0.39881753968945227,Dental assistants,101,80.95238095238095,171,67.61904761904762
2100,0.6611460392580326,6131503.6833999995,0.10782771623345393,Lawyers,102,80.76190476190477,464,11.809523809523814
420,0.6587817563598076,2530707.626,0.2603152373634992,Social and community service managers,103,80.57142857142857,284,46.0952380952381
5320,0.6457202362551111,365441.6115,1.766958704031194,"Library assistants, clerical",104,80.38095238095238,1,100.0
5940,0.6430106660538769,3475887.492,0.18499179491102954,"Office and administrative support workers, all other",105,80.19047619047619,367,30.28571428571428
2014,0.6257955046816628,3724115.0245000003,0.16803871539002266,"Social workers, all other",106,80.0,388,26.285714285714292
9005,0.6250476443712435,1808035.0082,0.3457054988075222,Supervisors of transportation and material moving workers,107,79.80952380952381,214,59.42857142857143
3255,0.6164721099939808,19085648.5968,0.032300296574534114,Registered nurses,108,79.61904761904762,516,1.904761904761909
2722,0.6086208284412123,1632363.956,0.3728462799023065,Coaches and scouts,109,79.42857142857143,191,63.8095238095238
7800,0.6070265185222414,1202489.037,0.5048083598638591,Bakers,110,79.23809523809524,110,79.23809523809524
2016,0.5935386766155989,1277231.2587000001,0.4647072897508931,Social and human service assistants,111,79.04761904761905,131,75.23809523809524
4200,0.5913390636522688,1767804.6598,0.3345047544558287,First-line supervisors of housekeeping and janitorial workers,112,78.85714285714286,220,58.285714285714285
5540,0.5787435306237391,548883.806,1.0544008117880947,Postal service clerks,113,78.66666666666666,13,97.71428571428571
2435,0.577925466511691,974682.7032999999,0.5929370292044773,Librarians and media collections specialists,114,78.47619047619048,79,85.14285714285714
5330,0.5764908827638858,667418.0592,0.8637627867829888,Loan interviewers and clerks,115,78.28571428571429,27,95.04761904761905
4965,0.560485398339491,1968575.7902,0.2847161898107808,"Sales and related workers, all other",116,78.0952380952381,256,51.42857142857142
845,0.5555489221951956,2155923.4442,0.2576849023511331,Financial and investment analysts,117,77.9047619047619,287,45.52380952380952
3545,0.5413724755842286,811987.3171,0.6667252852147149,Miscellaneous health technologists and technicians,118,77.71428571428571,60,88.76190476190476
8140,0.5329009878823238,3080217.7179,0.17300757176529707,"Welding, soldering, and brazing workers",119,77.52380952380953,380,27.809523809523807
9610,0.5078277326649839,2021490.2858,0.25121453030579977,Cleaners of vehicles and equipment,120,77.33333333333333,291,44.76190476190476
4521,0.503731483455282,1477884.8111999999,0.3408462416270904,Manicurists and pedicurists,121,77.14285714285715,217,58.857142857142854
3960,0.49863320296692765,657606.9834,0.7582541176628989,Other protective service workers,122,76.95238095238095,49,90.85714285714286
5300,0.4964689873010174,527451.0674,0.9412607500223581,"Hotel, motel, and resort desk clerks",123,76.76190476190476,17,96.95238095238096
2025,0.4928201769734831,566454.4906,0.8700084210674683,Other community and social service specialists,124,76.57142857142857,25,95.42857142857143
7810,0.4923591456823999,1348137.4108,0.36521436297078086,"Butchers and other meat, poultry, and fish processing workers",125,76.38095238095238,195,63.047619047619044
1006,0.49207881962506256,3104495.7157,0.1585052339214161,Computer systems analysts,126,76.19047619047619,406,22.857142857142854
7340,0.4880237947710497,3651144.9961,0.13366321942632686,"Maintenance and repair workers, general",127,76.0,439,16.57142857142857
4740,0.4767971530482275,393402.8896,1.211981827416215,Counter and rental clerks,128,75.80952380952381,7,98.85714285714286
4622,0.47606181609378956,732277.7334,0.6501110089520434,Recreation workers,129,75.61904761904762,66,87.61904761904762
3930,0.47440934798119483,4802309.8071,0.09878774319803396,Security guards and gambling surveillance officers,130,75.42857142857142,471,10.476190476190473
3401,0.4702622124274074,951039.9638,0.49447155779701985,Emergency medical technicians,131,75.23809523809524,115,78.28571428571429
5550,0.47000201421717364,1783899.5345,0.26346888102580734,Postal service mail carriers,132,75.04761904761905,281,46.666666666666664
3050,0.4697086234871932,1981797.4355,0.23701141956957247,Pharmacists,133,74.85714285714286,308,41.52380952380952
136,0.461438846892484,1674600.2354000001,0.2755516433940207,Human resources managers,134,74.66666666666666,264,49.904761904761905
3310,0.45933216758938056,1260645.1912,0.3643627650315671,Dental hygienists,135,74.47619047619047,197,62.66666666666667
4820,0.4539192584521681,1249151.2482,0.36338214376061817,"Securities, commodities, and financial services sales agents",136,74.28571428571429,200,62.095238095238095
6200,0.45342563718772694,3890227.5707,0.11655504181883591,First-line supervisors of construction trades and extraction workers,137,74.0952380952381,456,13.33333333333333
725,0.4485996065650001,918556.521,0.48837452710762497,"Meeting, convention, and event planners",138,73.90476190476191,118,77.71428571428571
700,0.44631557661178595,1031229.0267,0.43279966433841066,Logisticians,139,73.71428571428571,150,71.61904761904762
150,0.44578322358983036,1310881.4195,0.3400637288457885,Purchasing managers,140,73.52380952380952,218,58.666666666666664
2350,0.4427991336320534,928641.3086,0.4768247218073984,Tutors,141,73.33333333333334,121,77.14285714285715
650,0.4406655004361948,932320.5545999999,0.4726544944890297,Training and development specialists,142,73.14285714285714,123,76.76190476190476
4750,0.4252930800362685,710865.7021,0.598274862298028,Parts salespersons,143,72.95238095238095,76,85.71428571428572
2634,0.42430898166074926,1623028.7318,0.26143035754528793,Graphic designers,144,72.76190476190476,283,46.285714285714285
2640,0.42421232751541715,2094389.9282,0.20254696692511392,Other designers,145,72.57142857142857,338,35.80952380952381
3550,0.41881856822579344,561506.4724,0.7458837766119994,Other healthcare practitioners and technical occupations,146,72.38095238095238,53,90.0952380952381
5350,0.41680249488406435,684603.2054999999,0.608823463775126,Order clerks,147,72.19047619047618,74,86.09523809523809
4655,0.41606489155834775,718900.5645999999,0.5787516550217879,"Personal care and service workers, all other",148,72.0,82,84.57142857142857
2825,0.4096910926134944,720679.7773,0.5684786857047479,Public relations specialists,149,71.80952380952381,83,84.38095238095238
1050,0.40821723586456227,3957470.7133,0.10315104404756639,Computer support specialists,150,71.61904761904762,466,11.428571428571432
8300,0.4074879591684875,636334.6936,0.640367346408798,Laundry and dry-cleaning workers,151,71.42857142857143,69,87.04761904761905
5220,0.40702987576267485,470998.5726,0.8641849454358089,"Court, municipal, and license clerks",152,71.23809523809524,26,95.23809523809523
600,0.4066822079900478,764347.9839,0.5320642123172712,Cost estimators,153,71.04761904761905,94,82.28571428571428
3323,0.4026953188396587,1491502.1067,0.2699931277540305,Radiologic technologists and technicians,154,70.85714285714286,273,48.1904761904762
