occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
2825,0.0029371566996375235,153,0.7099236641221374,0.22772334702609676,Public relations specialists,720679.7773
60,0.0029295846227080933,154,0.7080152671755725,0.22711266049220408,Public relations and fundraising managers,693558.1085999999
3323,0.002927366054588148,155,0.7061068702290076,0.2269337334041672,Radiologic technologists and technicians,1491502.1067
335,0.002835166483721363,156,0.7041984732824427,0.21949785591853446,Entertainment and recreation managers,294327.5695
4500,0.002832543574402574,157,0.7022900763358779,0.21928631879133223,Barbers,645976.3593
7750,0.0028230657502672897,158,0.700381679389313,0.2185219341153756,Other assemblers and fabricators,5393965.8725000005
7200,0.002796925767831476,159,0.6984732824427481,0.21641374960820317,Automotive service technicians and mechanics,4850593.0763
600,0.002794515194696691,160,0.6965648854961832,0.21621933735300605,Cost estimators,764347.9839
5550,0.0027794058307566505,161,0.6946564885496183,0.21500077008541746,Postal service mail carriers,1783899.5345
4800,0.0027727544362018313,162,0.6927480916030535,0.21446433640624446,Advertising sales agents,769015.8215999999
350,0.0027712132233937295,163,0.6908396946564885,0.2143400378925682,Medical and health services managers,4482834.9969
5940,0.0027609235644260183,164,0.6889312977099237,0.2135101788950313,"Office and administrative support workers, all other",3475887.492
8800,0.0027541993262681142,165,0.6870229007633588,0.21296787039341541,Packaging and filling machine operators and tenders,1475624.8502
860,0.0027430078227884493,166,0.6851145038167938,0.21206527781112391,Insurance underwriters,662647.0784
8140,0.002725773115782482,167,0.6832061068702291,0.21067530203800114,"Welding, soldering, and brazing workers",3080217.7179
4965,0.002693304755204701,168,0.6812977099236641,0.20805673506262376,"Sales and related workers, all other",1968575.7902
8810,0.002681940025232505,169,0.6793893129770993,0.2071401717973495,Painting workers,886757.1240000001
9121,0.0026631501233128382,170,0.6774809160305344,0.20562476985644923,"Bus drivers, school",1166788.8057
6200,0.0026571914143897397,171,0.6755725190839694,0.20514420113895784,First-line supervisors of construction trades and extraction workers,3890227.5707
1970,0.002647760300074395,172,0.6736641221374046,0.2043835836009085,"Other life, physical, and social science technicians",1738436.574
3230,0.002645725426930899,173,0.6717557251908397,0.20421947147704944,Speech-language pathologists,1081756.0381
2640,0.0026419236325768776,174,0.6698473282442747,0.2039128575006903,Other designers,2094389.9282
9430,0.002624923337094485,175,0.66793893129771,0.20254178697142206,Other transportation workers,232559.3675
150,0.0026239944894257744,176,0.666030534351145,0.2024668755873189,Purchasing managers,1310881.4195
1006,0.002578665880333907,177,0.6641221374045801,0.19881113206668727,Computer systems analysts,3104495.7157
3150,0.0025656099989325226,178,0.6622137404580153,0.19775817776706356,Occupational therapists,906866.9536
2006,0.0025620231509585973,179,0.6603053435114503,0.19746889917451743,"Counselors, all other",1406231.5614999998
136,0.0025096141199515433,180,0.6583969465648856,0.19324212100141455,Human resources managers,1674600.2354000001
640,0.0025094300173685853,181,0.6564885496183206,0.19322727316385094,"Compensation, benefits, and job analysis specialists",373807.7033
2634,0.0025048788118274263,182,0.6545801526717557,0.19286021932078168,Graphic designers,1623028.7318
9610,0.002496886949985708,183,0.6526717557251909,0.19221567721523344,Cleaners of vehicles and equipment,2021490.2858
4400,0.0024931711184550437,184,0.6507633587786259,0.1919159961238844,Gambling services workers,456971.9584
3245,0.0024911433027003335,185,0.6488549618320612,0.1917524531770604,"Therapists, all other",1592510.2524
810,0.0024515469655991724,186,0.6469465648854962,0.1885590162792959,Property appraisers and assessors,422330.4787
3430,0.002446814978078568,187,0.6450381679389313,0.18817738240469145,Dietetic technicians and ophthalmic medical technicians,344584.153
3930,0.0024445964147432027,188,0.6431297709923665,0.18799845570253002,Security guards and gambling surveillance officers,4802309.8071
3000,0.0024328516449705945,189,0.6412213740458015,0.18705124230115464,Chiropractors,294834.3109
5820,0.002421713067703729,190,0.6393129770992366,0.18615291820764737,Word processors and typists,284203.8109
3605,0.002412188612316555,191,0.6374045801526718,0.18538477273028142,Orderlies and psychiatric aides,276377.1076
3321,0.0024070114738654045,192,0.6354961832061068,0.18496723751957492,Cardiovascular technologists and technicians,297241.0573
3610,0.0023951265034151646,193,0.633587786259542,0.18400871696077492,Occupational therapy assistants and aides,172411.25470000002
3820,0.002382191418094344,194,0.6316793893129771,0.18296550484159055,Detectives and criminal investigators,880703.9403
4530,0.0023793996381209523,195,0.6297709923664122,0.18274034832888858,"Baggage porters, bellhops, and concierges",424847.6147
7700,0.0023661252305553072,196,0.6278625954198473,0.1816697699365541,First-line supervisors of production and operating workers,4219399.6269
