occ,port_rate,rank,portability_index,occ_title,weighted_employment
5140,0.002269689904600498,210,0.6011450381679388,Payroll and timekeeping clerks,749306.6849
9365,0.002256365496200238,211,0.5992366412213741,Transportation service attendants,412420.6503
4521,0.002255421997980048,212,0.5973282442748091,Manicurists and pedicurists,1477884.8111999999
2634,0.002236413296185216,213,0.5954198473282443,Graphic designers,1623028.7318
3402,0.002204444196065641,214,0.5935114503816794,Paramedics,568519.6007
7010,0.002186731658197836,215,0.5916030534351144,"Computer, automated teller, and office machine repairers",893728.1599000001
3802,0.0021626586732069243,216,0.5896946564885497,Correctional officers and jailers,1804692.3517
5100,0.0021522737734580672,217,0.5877862595419847,Bill and account collectors,561604.7604
2810,0.0021466922437784327,218,0.5858778625954199,"News analysts, reporters, and journalists",452411.89249999996
9141,0.002138402149563811,219,0.583969465648855,Shuttle drivers and chauffeurs,362176.485
2060,0.0020773360963733407,220,0.58206106870229,"Religious workers, all other",382425.4286
2011,0.0020658964988921453,221,0.5801526717557253,"Child, family, and school social workers",352819.7218
600,0.002059310180487,222,0.5782442748091603,Cost estimators,764347.9839
7210,0.0020554232324423807,223,0.5763358778625954,Bus and truck mechanics and diesel engine specialists,1971394.8599
1006,0.0020554084049526204,224,0.5744274809160306,Computer systems analysts,3104495.7157
650,0.0020499301590665036,225,0.5725190839694656,Training and development specialists,932320.5545999999
5850,0.002047126288797256,226,0.5706106870229007,"Mail clerks and mail machine operators, except postal service",272561.0195
3245,0.002036407480247099,227,0.5687022900763359,"Therapists, all other",1592510.2524
40,0.002022672686214302,228,0.5667938931297709,Advertising and promotions managers,342728.22479999997
300,0.0019992598929607537,229,0.5648854961832062,Architectural and engineering managers,1036701.7233
4965,0.001981280337556146,230,0.5629770992366412,"Sales and related workers, all other",1968575.7902
1430,0.0019771452315805378,231,0.5610687022900763,"Industrial engineers, including health and safety",1372013.219
5350,0.0019728219040444487,232,0.5591603053435115,Order clerks,684603.2054999999
220,0.0019722300055321114,233,0.5572519083969465,Construction managers,5720339.8065
1360,0.0019605929362808373,234,0.5553435114503817,Civil engineers,2453907.5227
3710,0.0019567475440417465,235,0.5534351145038168,First-line supervisors of police and detectives,541187.3718
3321,0.0019420053766367816,236,0.5515267175572519,Cardiovascular technologists and technicians,297241.0573
2635,0.0019412640432723515,237,0.549618320610687,Interior designers,598522.9144
845,0.0019385411666132295,238,0.5477099236641221,Financial and investment analysts,2155923.4442
7260,0.0019304636637438653,239,0.5458015267175573,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",514454.889
7840,0.0019296051659907366,240,0.5438931297709924,Food batchmakers,511283.56
3601,0.001927134465195335,241,0.5419847328244275,Home health aides,3179103.5507
2350,0.0019209406965085306,242,0.5400763358778626,Tutors,928641.3086
5330,0.0018948852244039663,243,0.5381679389312977,Loan interviewers and clerks,667418.0592
4540,0.0018827806715037807,244,0.5362595419847328,Tour and travel guides,332964.9069
3422,0.0018771522191482757,245,0.5343511450381679,Psychiatric technicians,640471.3225
1825,0.0018674938093688291,246,0.5324427480916031,Other psychologists,699031.5829
4252,0.0018624993331504214,247,0.5305343511450382,Tree trimmers and pruners,541354.9014
5730,0.0018599682231661555,248,0.5286259541984732,Medical secretaries and administrative assistants,394679.5922
5360,0.0018589168633428212,249,0.5267175572519084,"Human resources assistants, except payroll and timekeeping",369557.0296
1240,0.001851798600031843,250,0.5248091603053435,Other mathematical science occupations,1947241.916
3030,0.0018279191087505605,251,0.5229007633587786,Dietitians and nutritionists,680362.3966
2633,0.0018273822683191842,252,0.5209923664122138,Floral designers,309720.7529
960,0.0018131638770798205,253,0.5190839694656488,Other financial specialists,530803.5774000001
3740,0.001809377017944416,254,0.517175572519084,Firefighters,1795743.4902
4830,0.0017991347017784329,255,0.5152671755725191,Travel agents,361718.4721
5560,0.0017901771209094567,256,0.5133587786259541,"Postal service mail sorters, processors, and processing machine operators",324555.98480000003
3605,0.0017668130888786908,257,0.5114503816793894,Orderlies and psychiatric aides,276377.1076
9430,0.0017657048395811803,258,0.5095419847328244,Other transportation workers,232559.3675
9050,0.0017634766351360364,259,0.5076335877862596,Flight attendants,626959.9739
2825,0.0017515382573598359,260,0.5057251908396947,Public relations specialists,720679.7773
4640,0.001727744271297807,261,0.5038167938931297,Residential advisors,171327.8621
2050,0.00172613508407727,262,0.5019083969465649,"Directors, religious activities and education",360585.00179999997
2910,0.001708859049999971,263,0.5,Photographers,1162008.9527
1065,0.0017034843244468252,264,0.49809160305343514,Database administrators and architects,743902.8183
5150,0.001703448426049408,265,0.4961832061068703,Procurement clerks,234821.439
8225,0.0016988361510324008,266,0.4942748091603053,Other metal workers and plastic workers,1960797.5244
1822,0.0016983062026236638,267,0.49236641221374045,School psychologists,313978.4584
3430,0.0016980574537491754,268,0.4904580152671756,Dietetic technicians and ophthalmic medical technicians,344584.153
700,0.0016863064108213624,269,0.4885496183206107,Logisticians,1031229.0267
8030,0.0016448537973783395,270,0.48664122137404575,Machinists,1692394.5027
9720,0.0016408844789781844,271,0.4847328244274809,Refuse and recyclable material collectors,660987.1081000001
6360,0.001634447291229536,272,0.48282442748091603,Glaziers,190234.9944
2920,0.0016279601575463919,273,0.48091603053435117,"Television, video, and film camera operators and editors",749800.5251
4000,0.001618659289076932,274,0.4790076335877863,Chefs and head cooks,2628441.3504999997
8760,0.0016030329186444996,275,0.47709923664122134,Dental and ophthalmic laboratory technicians and medical appliance technicians,388527.8995
